Company_Ticker,Company_Name,Aienstein_Rating,ESG_E,ESG_S,ESG_G,ESG_Summary,Fact_Market_Cap,Fact_Market_Cap_Rating
HSIC,Henry Schein Inc.,A,B,B,C,C,12189.6295,2X
HTLD,"Heartland Express, Inc.",F,D,C,B,C,1178.841357,.5X
HUBS,HubSpot Inc,F,D,B,C,C,23113.94518,4X
ICHR,Ichor Holdings Ltd,F,C,C,C,C,1048.9983,.5X
IDA,"Idacorp, Inc.",D,B,C,C,B,5569.431336,1X
IGT,International Game Technology PLC,F,C,B,C,C,5283.591,1X
IIIV,i3 Verticals Inc,A,D,C,F,D,587.0593304,.25X
INTC,Intel Corp.,D,B,B,C,C,192504.65,4X
IP,International Paper Co.,D,B,B,D,C,17591.46598,2X
IPHI,Inphi Corp,B,D,C,D,D,9246.19913,2X
JILL,J.Jill Inc,F,D,C,C,C,162.249685,.25X
JW.A,John Wiley & Sons Inc.,D,D,C,C,C,2586.189475,1X
KDNY,Chinook Therapeutics Inc,D,D,D,D,D,671.99604,.25X
KN,Knowles Corp,D,C,C,C,C,1984.148762,.5X
KNX,Knight-Swift Transportation Holdings Inc,D,C,C,B,C,9316.230186,2X
LMAT,Lemaitre Vascular Inc,F,,,,,994.8881225,.5X
LNT,Alliant Energy Corp.,D,B,C,C,C,15093.0513,2X
LPI,Laredo Petroleum Inc.,A,D,C,C,C,1179.869374,.5X
LVS,Las Vegas Sands Corp,A,C,C,C,C,29765.04074,4X
MANU,Manchester United Plc.,D,B,C,D,C,568.7886177,.25X
MCHX,Marchex Inc,D,D,D,C,C,83.8026084,.25X
MET,Metlife Inc,A,B,C,C,C,58654.63121,4X
MGNX,Macrogenics Inc,F,D,C,C,C,568.9088513,.25X
MHO,MI Homes Inc.,F,C,C,C,C,1490.240548,.5X
MIK,Michaels Companies Inc,D,C,B,C,C,3243.859515,1X
MITK,Mitek Systems Inc,F,D,C,C,C,652.436747,.25X
MNST,Monster Beverage Corp.,F,C,C,B,C,42622.90751,4X
MSFT,Microsoft Corporation,F,B,C,C,C,2257698.778,4X
MTOR,Meritor Inc,A,B,C,D,C,2496.400154,.5X
MWA,Mueller Water Products Inc,D,C,C,C,C,2119.950342,.5X
NDLS,Noodles & Company,F,D,C,C,C,298.447825,.25X
NFG,National Fuel Gas Co.,A,C,C,C,C,6037.104206,2X
A,Agilent Technologies Inc.,F,B,B,C,B,42114.77757,4X
